year,tmID,W_team_post,L_team_post,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_team,lost_team,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint,won_coach,lost_coach,post_wins,post_losses,round,series,tmIDWinner,tmIDLoser,W_series,L_series,playerID,CBE_Sum,bioID,height,weight,birthDate,award_player,award_coach
11,ATL,0.0,2.0,ATL,EA,2.0,Y,L,N,N,Atlanta Dream,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,120737.0,Philips Arena,meadoma99w,0,18.0,16.0,0.0,2.0,,,,,,,desouer01w,0.5148767810708359,desouer01w,77.0,190,1982-03-03,,Coach of the Year
8,CON,3.0,2.0,CON,EA,1.0,Y,W,L,N,Connecticut Sun,982.0,2216.0,545.0,675.0,174.0,510.0,342.0,926.0,1268.0,630.0,530.0,252.0,514.0,153.0,2683.0,948.0,2357.0,358.0,500.0,163.0,508.0,370.0,783.0,1153.0,528.0,646.0,273.0,486.0,103.0,2417.0,26.0,8.0,34.0,14.0,3.0,12.0,5.0,15.0,5.0,6825.0,126096.0,Mohegan Sun Arena,thibami99w,0,26.0,8.0,3.0,2.0,FR,B,CON,WAS,2.0,0.0,desouer01w,0.2682926829268293,desouer01w,77.0,190,1982-03-03,,Coach of the Year
3,LAS,6.0,1.0,LAS,WE,1.0,Y,W,W,W,Los Angeles Sparks,916.0,2031.0,449.0,594.0,160.0,436.0,350.0,755.0,1105.0,596.0,616.0,281.0,438.0,138.0,2441.0,779.0,1985.0,416.0,547.0,192.0,603.0,294.0,627.0,921.0,538.0,591.0,234.0,453.0,114.0,2166.0,28.0,4.0,32.0,16.0,0.0,12.0,4.0,19.0,2.0,6475.0,148446.0,Staples Center,coopemi01w,0,28.0,4.0,6.0,1.0,FR,C,LAS,HOU,2.0,0.0,desouer01w,0.0,desouer01w,77.0,190,1982-03-03,,
3,LAS,6.0,1.0,LAS,WE,1.0,Y,W,W,W,Los Angeles Sparks,916.0,2031.0,449.0,594.0,160.0,436.0,350.0,755.0,1105.0,596.0,616.0,281.0,438.0,138.0,2441.0,779.0,1985.0,416.0,547.0,192.0,603.0,294.0,627.0,921.0,538.0,591.0,234.0,453.0,114.0,2166.0,28.0,4.0,32.0,16.0,0.0,12.0,4.0,19.0,2.0,6475.0,148446.0,Staples Center,coopemi01w,0,28.0,4.0,6.0,1.0,CF,F,LAS,SAC,2.0,1.0,desouer01w,0.0,desouer01w,77.0,190,1982-03-03,,
3,LAS,6.0,1.0,LAS,WE,1.0,Y,W,W,W,Los Angeles Sparks,916.0,2031.0,449.0,594.0,160.0,436.0,350.0,755.0,1105.0,596.0,616.0,281.0,438.0,138.0,2441.0,779.0,1985.0,416.0,547.0,192.0,603.0,294.0,627.0,921.0,538.0,591.0,234.0,453.0,114.0,2166.0,28.0,4.0,32.0,16.0,0.0,12.0,4.0,19.0,2.0,6475.0,148446.0,Staples Center,coopemi01w,0,28.0,4.0,6.0,1.0,F,G,LAS,CHA,2.0,0.0,desouer01w,0.0,desouer01w,77.0,190,1982-03-03,,
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,holdsch01w,0.7465261192107028,holdsch01w,74.0,172,1977-08-09,,
6,LAS,1.0,2.0,LAS,WE,1.0,Y,L,N,N,Los Angeles Sparks,904.0,2069.0,530.0,722.0,157.0,414.0,312.0,809.0,1121.0,626.0,731.0,262.0,529.0,148.0,2495.0,815.0,2095.0,557.0,761.0,174.0,511.0,339.0,727.0,1066.0,532.0,704.0,288.0,523.0,114.0,2361.0,25.0,9.0,34.0,15.0,2.0,10.0,7.0,16.0,6.0,6975.0,177269.0,Staples Center,bibbyhe01w,1,0.0,0.0,0.0,0.0,,,,,,,holdsch01w,0.8081862452347799,holdsch01w,74.0,172,1977-08-09,,
6,LAS,1.0,2.0,LAS,WE,1.0,Y,L,N,N,Los Angeles Sparks,904.0,2069.0,530.0,722.0,157.0,414.0,312.0,809.0,1121.0,626.0,731.0,262.0,529.0,148.0,2495.0,815.0,2095.0,557.0,761.0,174.0,511.0,339.0,727.0,1066.0,532.0,704.0,288.0,523.0,114.0,2361.0,25.0,9.0,34.0,15.0,2.0,10.0,7.0,16.0,6.0,6975.0,177269.0,Staples Center,bryanjo01w,2,0.0,0.0,0.0,0.0,,,,,,,holdsch01w,0.8081862452347799,holdsch01w,74.0,172,1977-08-09,,
7,LAS,0.0,2.0,LAS,WE,4.0,Y,L,N,N,Los Angeles Sparks,873.0,2042.0,456.0,630.0,124.0,387.0,321.0,683.0,1004.0,551.0,737.0,264.0,492.0,136.0,2326.0,818.0,1955.0,527.0,709.0,182.0,519.0,332.0,709.0,1041.0,567.0,654.0,247.0,544.0,115.0,2345.0,17.0,17.0,34.0,11.0,6.0,6.0,11.0,12.0,10.0,6800.0,150521.0,Staples Center,bryanjo01w,0,4.0,2.0,0.0,2.0,,,,,,,holdsch01w,0.7790112201414092,holdsch01w,74.0,172,1977-08-09,,
8,LAS,2.0,3.0,LAS,WE,1.0,N,W,L,N,Los Angeles Sparks,962.0,2195.0,540.0,726.0,111.0,377.0,350.0,852.0,1202.0,610.0,679.0,296.0,534.0,129.0,2575.0,873.0,2184.0,534.0,721.0,196.0,570.0,336.0,746.0,1082.0,565.0,636.0,284.0,556.0,128.0,2476.0,25.0,9.0,34.0,15.0,2.0,10.0,7.0,15.0,5.0,6825.0,141282.0,Staples Center,coopemi01w,0,14.0,6.0,0.0,0.0,FR,C,LAS,SEA,2.0,1.0,holdsch01w,0.7665060410027079,holdsch01w,74.0,172,1977-08-09,WNBA All Decade Team Honorable Mention,
2,WAS,0.0,2.0,WAS,EA,4.0,N,L,N,N,Washington Mystics,832.0,1813.0,403.0,578.0,109.0,335.0,300.0,646.0,946.0,521.0,597.0,245.0,506.0,126.0,2176.0,845.0,1875.0,382.0,555.0,149.0,397.0,299.0,612.0,911.0,513.0,595.0,261.0,456.0,102.0,2221.0,14.0,18.0,32.0,7.0,9.0,7.0,9.0,13.0,8.0,6400.0,244134.0,Verizon Center,maherto99w,0,0.0,0.0,0.0,0.0,,,,,,,holdsch01w,0.6887709991158267,holdsch01w,74.0,172,1977-08-09,,
3,WAS,,,WAS,EA,8.0,Y,N,N,N,Washington Mystics,739.0,1915.0,333.0,504.0,117.0,418.0,356.0,699.0,1055.0,424.0,537.0,257.0,495.0,127.0,1928.0,791.0,1945.0,347.0,467.0,146.0,408.0,331.0,737.0,1068.0,487.0,543.0,261.0,454.0,103.0,2075.0,10.0,22.0,32.0,8.0,8.0,2.0,14.0,4.0,17.0,6500.0,246667.0,Verizon Center,stanlma99w,0,0.0,0.0,0.0,0.0,,,,,,,holdsch01w,0.7151547303271442,holdsch01w,74.0,172,1977-08-09,,
4,WAS,3.0,2.0,WAS,EA,3.0,N,W,N,N,Washington Mystics,806.0,1910.0,359.0,478.0,164.0,443.0,330.0,708.0,1038.0,516.0,583.0,221.0,455.0,94.0,2135.0,786.0,1903.0,397.0,538.0,147.0,446.0,309.0,680.0,989.0,442.0,570.0,237.0,441.0,101.0,2116.0,17.0,15.0,32.0,9.0,7.0,8.0,8.0,12.0,9.0,6450.0,259237.0,Verizon Center,stanlma99w,0,17.0,15.0,3.0,2.0,FR,B,WAS,CHA,2.0,0.0,holdsch01w,0.7948560452443842,holdsch01w,74.0,172,1977-08-09,,Coach of the Year
5,WAS,,,WAS,EA,7.0,Y,N,N,N,Washington Mystics,896.0,2191.0,381.0,507.0,157.0,505.0,382.0,703.0,1085.0,568.0,676.0,213.0,462.0,99.0,2330.0,909.0,2033.0,509.0,691.0,171.0,482.0,334.0,781.0,1115.0,591.0,565.0,251.0,468.0,119.0,2498.0,9.0,25.0,34.0,3.0,14.0,6.0,11.0,7.0,17.0,6875.0,238710.0,Verizon Center,adamsmi01w,0,0.0,0.0,0.0,0.0,,,,,,,holdsch01w,0.8176610212750602,holdsch01w,74.0,172,1977-08-09,,
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,lacyje01w,0.2915115277300963,lacyje01w,75.0,175,1983-03-21,,
11,TUL,,,DET,EA,3.0,N,W,L,N,Detroit Shock,980.0,2277.0,539.0,721.0,153.0,436.0,373.0,853.0,1226.0,575.0,766.0,261.0,546.0,97.0,2652.0,902.0,2201.0,632.0,813.0,208.0,611.0,320.0,781.0,1101.0,524.0,716.0,279.0,531.0,110.0,2644.0,18.0,16.0,34.0,11.0,6.0,7.0,10.0,11.0,11.0,6975.0,136069.0,The Palace of Auburn Hills,edwarte01w,0,0.0,0.0,0.0,0.0,,,,,,,lacyje01w,0.2946004966263015,lacyje01w,75.0,175,1983-03-21,,
11,TUL,,,DET,EA,3.0,N,W,L,N,Detroit Shock,980.0,2277.0,539.0,721.0,153.0,436.0,373.0,853.0,1226.0,575.0,766.0,261.0,546.0,97.0,2652.0,902.0,2201.0,632.0,813.0,208.0,611.0,320.0,781.0,1101.0,524.0,716.0,279.0,531.0,110.0,2644.0,18.0,16.0,34.0,11.0,6.0,7.0,10.0,11.0,11.0,6975.0,136069.0,The Palace of Auburn Hills,richano99w,0,0.0,0.0,0.0,0.0,,,,,,,lacyje01w,0.2946004966263015,lacyje01w,75.0,175,1983-03-21,,
7,PHO,,,PHO,WE,5.0,N,N,N,N,Phoenix Mercury,826.0,1994.0,531.0,693.0,178.0,539.0,342.0,720.0,1062.0,549.0,697.0,243.0,517.0,179.0,2361.0,855.0,1993.0,523.0,720.0,121.0,332.0,319.0,705.0,1024.0,470.0,672.0,265.0,483.0,112.0,2354.0,16.0,18.0,34.0,11.0,6.0,5.0,12.0,12.0,10.0,6800.0,124146.0,US Airways Center,westhpa99w,0,0.0,0.0,0.0,0.0,,,,,,,lacyje01w,0.0,lacyje01w,75.0,175,1983-03-21,,
8,PHO,,,PHO,WE,5.0,Y,N,N,N,Phoenix Mercury,1079.0,2434.0,537.0,684.0,265.0,722.0,334.0,811.0,1145.0,640.0,741.0,275.0,442.0,127.0,2960.0,1023.0,2360.0,630.0,852.0,203.0,618.0,408.0,875.0,1283.0,578.0,669.0,231.0,537.0,126.0,2879.0,18.0,16.0,34.0,10.0,7.0,8.0,9.0,8.0,12.0,6900.0,126801.0,US Airways Center,westhpa99w,0,18.0,16.0,0.0,0.0,,,,,,,lacyje01w,0.3075396825396825,lacyje01w,75.0,175,1983-03-21,,
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,lattaiv01w,0.4833733974358974,lattaiv01w,66.0,143,1984-09-24,,
8,DET,7.0,3.0,DET,EA,2.0,Y,W,W,W,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0,23.0,11.0,7.0,3.0,FR,A,DET,IND,2.0,0.0,lattaiv01w,0.0,lattaiv01w,66.0,143,1984-09-24,,
8,DET,7.0,3.0,DET,EA,2.0,Y,W,W,W,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0,23.0,11.0,7.0,3.0,CF,E,DET,CON,2.0,1.0,lattaiv01w,0.0,lattaiv01w,66.0,143,1984-09-24,,
8,DET,7.0,3.0,DET,EA,2.0,Y,W,W,W,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0,23.0,11.0,7.0,3.0,F,G,DET,SAC,3.0,2.0,lattaiv01w,0.0,lattaiv01w,66.0,143,1984-09-24,,
11,TUL,,,DET,EA,3.0,N,W,L,N,Detroit Shock,980.0,2277.0,539.0,721.0,153.0,436.0,373.0,853.0,1226.0,575.0,766.0,261.0,546.0,97.0,2652.0,902.0,2201.0,632.0,813.0,208.0,611.0,320.0,781.0,1101.0,524.0,716.0,279.0,531.0,110.0,2644.0,18.0,16.0,34.0,11.0,6.0,7.0,10.0,11.0,11.0,6975.0,136069.0,The Palace of Auburn Hills,edwarte01w,0,0.0,0.0,0.0,0.0,,,,,,,lattaiv01w,0.4670108363858364,lattaiv01w,66.0,143,1984-09-24,,
11,TUL,,,DET,EA,3.0,N,W,L,N,Detroit Shock,980.0,2277.0,539.0,721.0,153.0,436.0,373.0,853.0,1226.0,575.0,766.0,261.0,546.0,97.0,2652.0,902.0,2201.0,632.0,813.0,208.0,611.0,320.0,781.0,1101.0,524.0,716.0,279.0,531.0,110.0,2644.0,18.0,16.0,34.0,11.0,6.0,7.0,10.0,11.0,11.0,6975.0,136069.0,The Palace of Auburn Hills,richano99w,0,0.0,0.0,0.0,0.0,,,,,,,lattaiv01w,0.4670108363858364,lattaiv01w,66.0,143,1984-09-24,,
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,lehnish01w,0.0,lehnish01w,69.0,147,1986-10-27,,
11,ATL,0.0,2.0,ATL,EA,2.0,Y,L,N,N,Atlanta Dream,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,120737.0,Philips Arena,meadoma99w,0,18.0,16.0,0.0,2.0,,,,,,,lehnish01w,0.3267326732673267,lehnish01w,69.0,147,1986-10-27,,Coach of the Year
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,lyttlsa01w,0.6077939922735377,lyttlsa01w,76.0,175,1983-09-20,,
11,ATL,0.0,2.0,ATL,EA,2.0,Y,L,N,N,Atlanta Dream,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,120737.0,Philips Arena,meadoma99w,0,18.0,16.0,0.0,2.0,,,,,,,lyttlsa01w,0.629951627760828,lyttlsa01w,76.0,175,1983-09-20,,Coach of the Year
6,HOU,,,HOU,WE,6.0,Y,N,N,N,Houston Comets,798.0,1933.0,458.0,615.0,123.0,358.0,311.0,724.0,1035.0,451.0,555.0,242.0,484.0,107.0,2177.0,834.0,2008.0,391.0,531.0,152.0,434.0,335.0,720.0,1055.0,539.0,655.0,258.0,471.0,129.0,2211.0,13.0,21.0,34.0,9.0,8.0,4.0,13.0,7.0,15.0,6850.0,137455.0,Toyota Center,chancva99w,0,13.0,21.0,0.0,0.0,,,,,,,lyttlsa01w,0.0,lyttlsa01w,76.0,175,1983-09-20,,
7,HOU,2.0,3.0,HOU,WE,3.0,Y,W,L,N,Houston Comets,860.0,1920.0,527.0,690.0,62.0,205.0,276.0,684.0,960.0,467.0,581.0,246.0,425.0,105.0,2309.0,848.0,1944.0,419.0,559.0,148.0,423.0,274.0,687.0,961.0,541.0,685.0,197.0,481.0,111.0,2263.0,19.0,15.0,34.0,11.0,6.0,8.0,9.0,11.0,11.0,6875.0,120676.0,Toyota Center,chancva99w,0,19.0,15.0,2.0,3.0,FR,C,HOU,SEA,2.0,1.0,lyttlsa01w,0.5152173913043478,lyttlsa01w,76.0,175,1983-09-20,,
8,HOU,0.0,2.0,HOU,WE,3.0,N,L,N,N,Houston Comets,928.0,2098.0,482.0,678.0,169.0,472.0,303.0,822.0,1125.0,532.0,617.0,252.0,566.0,84.0,2507.0,928.0,2232.0,445.0,615.0,148.0,496.0,337.0,787.0,1124.0,526.0,705.0,298.0,519.0,89.0,2449.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,11.0,9.0,6925.0,130586.0,Toyota Center,thompka99w,0,11.0,3.0,1.0,2.0,,,,,,,lyttlsa01w,0.4918192219679634,lyttlsa01w,76.0,175,1983-09-20,,
9,HOU,,,HOU,WE,5.0,N,N,N,N,Houston Comets,915.0,2149.0,554.0,721.0,126.0,365.0,374.0,770.0,1144.0,558.0,655.0,289.0,633.0,109.0,2510.0,924.0,2190.0,578.0,719.0,202.0,581.0,342.0,721.0,1063.0,588.0,677.0,310.0,568.0,160.0,2628.0,13.0,21.0,34.0,7.0,10.0,6.0,11.0,10.0,12.0,6800.0,138816.0,Toyota Center,thompka99w,0,13.0,21.0,0.0,0.0,,,,,,,lyttlsa01w,0.5465883087164551,lyttlsa01w,76.0,175,1983-09-20,,
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,mccouan01w,0.0,mccouan01w,73.0,160,1986-09-10,,
11,ATL,0.0,2.0,ATL,EA,2.0,Y,L,N,N,Atlanta Dream,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,120737.0,Philips Arena,meadoma99w,0,18.0,16.0,0.0,2.0,,,,,,,mccouan01w,0.7251700680272108,mccouan01w,73.0,160,1986-09-10,Rookie of the Year,Coach of the Year
